type,time,epoch,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,amp_dtype,allow_tf32,channels_last,query_budget_batching
epoch,1781913097.8654063,77,7.960244140711774e-05,1.8142775297164917,0.07383091002702713,0.6074936389923096,0.08999311178922653,0.11894270032644272,0.010459032841026783,0.08358671516180038,0.0392094996816013,0.06394990309508428,0.3662700248076357,8711,127505,23783,136216,12669,0,10.751914121082958,3.9733333333333336,2.0,3.283333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781915192.1061883,78,7.91077685810863e-05,1.8111382722854614,0.07370100170373917,0.6073987483978271,0.0890612006187439,0.11806318163871765,0.010581506416201591,0.08728993684053421,0.03998116435250267,0.0639986934694776,0.3789681705419838,9013,131818,23783,140831,12669,0,11.116189123056278,3.96,2.0,3.3,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781917163.4492297,79,7.860570307897236e-05,1.8146227598190308,0.07281038910150528,0.6068118214607239,0.09127021580934525,0.11984743922948837,0.010925543494522572,0.07806193083524704,0.03583813407458365,0.06172037422037422,0.3595004835386621,8550,129978,23783,138528,12669,0,10.934406819796353,3.9466666666666668,2.0,3.3166666666666664,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781919388.5816486,80,7.810087972722507e-05,1.8135606050491333,0.07331418246030807,0.6056046485900879,0.09089244902133942,0.11871932446956635,0.011005263775587082,1.9173554182052612,0.08450653403997421,0.641063392162323,0.08750133216381073,0.12042051553726196,0.011166042648255825,0.07683995366096497,0.03492162627517246,0.06167166312902544,0.3555060337215658,8455,128642,23783,137097,12669,0,10.821453942694767,3.9333333333333336,2.0,3.333333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781921366.0300503,81,7.759128021046189e-05,1.8062831163406372,0.07256431132555008,0.602485179901123,0.09127320349216461,0.11835860460996628,0.01109376922249794,0.08692407608032227,0.040308769818511794,0.06118018967334036,0.36618593112727577,8709,133641,23783,142350,12669,0,11.23608808903623,3.92,2.0,3.35,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781923306.6988418,82,7.707791199810312e-05,1.8032499551773071,0.07162878662347794,0.6012774705886841,0.09193640947341919,0.11919768154621124,0.011345733888447285,0.0854119285941124,0.03992487500363495,0.06289515762296645,0.36055165454316107,8575,127763,23783,136338,12669,0,10.761543926118874,3.9066666666666667,2.0,3.3666666666666663,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781925266.324564,83,7.656208342282663e-05,1.7955090999603271,0.07039736956357956,0.5981868505477905,0.0926770493388176,0.11970288306474686,0.011501580476760864,0.08698747307062149,0.04043715469597373,0.0658293274664336,0.3673632426523147,8737,123985,23783,132722,12669,0,10.476122819480622,3.8933333333333335,2.0,3.3833333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781927248.0217645,84,7.604391050016162e-05,1.7831000089645386,0.06917283684015274,0.5938592553138733,0.09276027977466583,0.11949926614761353,0.011605599895119667,0.0860181450843811,0.03816587175242603,0.06314972417043217,0.38313080771979985,9112,135180,23783,144292,12669,0,11.389375641329229,3.88,2.0,3.4000000000000004,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781929642.8466947,85,7.552103390061045e-05,1.7840648889541626,0.06974396854639053,0.5943118929862976,0.09193437546491623,0.11876676231622696,0.011653158813714981,1.8868014812469482,0.08037319779396057,0.6281003952026367,0.09012748301029205,0.12111841142177582,0.011887714266777039,0.08915971219539642,0.040586616666405465,0.06322380640227247,0.38931169322625403,9259,137189,23783,146448,12669,0,11.55955481884916,3.8666666666666667,2.0,3.4166666666666665,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781931611.269258,86,7.499365501476498e-05,1.777679443359375,0.06962069123983383,0.5902536511421204,0.09239808470010757,0.11842596530914307,0.011668586172163486,0.08954865485429764,0.041958174863248134,0.0648863935932969,0.3829205735189001,9107,131246,23783,140353,12669,0,11.078459231194254,3.8533333333333335,2.0,3.4333333333333336,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781933579.2574081,87,7.446518553192282e-05,1.7707633972167969,0.06892888993024826,0.5876652598381042,0.09246692806482315,0.11807763576507568,0.011734753847122192,0.0886116549372673,0.04062211574637331,0.0621628669860137,0.380860278350082,9058,136656,23783,145714,12669,0,11.501618122977346,3.84,2.0,3.4499999999999997,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781935561.5109816,88,7.393295418753294e-05,1.7669131755828857,0.06861735880374908,0.5854589343070984,0.09281118214130402,0.11734321713447571,0.011676236987113953,0.09519365429878235,0.04580572033300996,0.06534470504619759,0.3865786486145566,9194,131506,23783,140700,12669,0,11.105848922566896,3.8266666666666667,2.0,3.466666666666667,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781937523.4984844,89,7.339520520963734e-05,1.7736155986785889,0.06850973516702652,0.5863790512084961,0.09410209953784943,0.11812907457351685,0.011817877180874348,0.08459407836198807,0.04192027311946731,0.06006092627639142,0.3589538746163226,8537,133602,23783,142139,12669,0,11.219433262293787,3.8133333333333335,2.0,3.4833333333333334,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
